2022-05-12 16:23:47,180,1,ai-play,novice,1,1,857,8
2022-05-12 16:26:48,180,1,ai-play,novice,2,1,421,5
2022-05-12 16:29:48,180,1,ai-play,novice,2,2,297,5
2022-05-12 16:32:49,180,2,ai-play,novice,1,1,695,8
2022-05-12 16:35:49,180,2,ai-play,novice,2,1,279,5
2022-05-12 16:38:50,180,2,ai-play,novice,2,2,507,9
2022-05-12 19:33:11,180,1,ai-play,pro,1,1,1627,19
2022-05-12 19:36:11,180,1,ai-play,pro,2,1,1069,18
2022-05-12 19:39:12,180,1,ai-play,pro,2,2,703,12
2022-05-12 19:42:12,180,2,ai-play,pro,1,1,1567,20
2022-05-12 19:45:13,180,2,ai-play,pro,2,1,633,9
2022-05-12 19:48:13,180,2,ai-play,pro,2,2,805,15